Log Matlab com RI-PMI-CQI

>> EndToEndCSIFeedback
Number of CSI-RS ports: 8.

Simulating transmission scheme 1 (8x4) and SCS=15kHz with CDL-C channel at -5dB SNR for 20 10ms frame(s)
Using RI, PMI, and CQI as CSI feedback.

( 0.50%) NSlot= 0: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). Using initial CSI. CSI-RS transmission. 
(46.50%) NSlot=92: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=80.
(47.00%) NSlot=93: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(47.50%) NSlot=94: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(48.00%) NSlot=95: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(48.50%) NSlot=96: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(49.00%) NSlot=97: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(49.50%) NSlot=98: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(50.00%) NSlot=99: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(50.50%) NSlot=100: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(51.00%) NSlot=101: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(51.50%) NSlot=102: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=90.
(52.00%) NSlot=103: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(52.50%) NSlot=104: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(53.00%) NSlot=105: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(53.50%) NSlot=106: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(54.00%) NSlot=107: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(54.50%) NSlot=108: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(55.00%) NSlot=109: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(55.50%) NSlot=110: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(56.00%) NSlot=111: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(56.50%) NSlot=112: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=100.
(57.00%) NSlot=113: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(57.50%) NSlot=114: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(58.00%) NSlot=115: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(58.50%) NSlot=116: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(59.00%) NSlot=117: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(59.50%) NSlot=118: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(60.00%) NSlot=119: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(60.50%) NSlot=120: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(61.00%) NSlot=121: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(61.50%) NSlot=122: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=110.
(62.00%) NSlot=123: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(62.50%) NSlot=124: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(63.00%) NSlot=125: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(63.50%) NSlot=126: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(64.00%) NSlot=127: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(64.50%) NSlot=128: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(65.00%) NSlot=129: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(65.50%) NSlot=130: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(66.00%) NSlot=131: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(66.50%) NSlot=132: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=120.
(67.00%) NSlot=133: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(67.50%) NSlot=134: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(68.00%) NSlot=135: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(68.50%) NSlot=136: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(69.00%) NSlot=137: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(69.50%) NSlot=138: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(70.00%) NSlot=139: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(70.50%) NSlot=140: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(71.00%) NSlot=141: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(71.50%) NSlot=142: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=130.
(72.00%) NSlot=143: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(72.50%) NSlot=144: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(73.00%) NSlot=145: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(73.50%) NSlot=146: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(74.00%) NSlot=147: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(74.50%) NSlot=148: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(75.00%) NSlot=149: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
